"sora","jdate","fs","region"
3,223,"state","nw"
1,224,"state","nw"
0,224,"state","nw"
0,225,"fed","nw"
0,225,"fed","nw"
9,227,"state","nw"
1,227,"state","nw"
1,227,"state","nw"
8,227,"state","nw"
0,227,"state","nw"
0,227,"state","nw"
0,229,"fed","nw"
0,229,"fed","nw"
0,229,"fed","nw"
3,229,"fed","nw"
0,229,"fed","nw"
0,229,"fed","nw"
0,229,"fed","nw"
0,229,"fed","nw"
2,231,"fed","nc"
1,231,"fed","nc"
1,231,"fed","nc"
0,231,"fed","nc"
0,231,"fed","nc"
1,231,"fed","nc"
0,232,"state","nc"
3,232,"state","nc"
3,232,"state","nc"
12,233,"state","nc"
3,233,"state","nc"
6,233,"state","nc"
1,233,"state","nc"
4,236,"state","ne"
2,236,"state","ne"
5,236,"state","ne"
2,236,"state","ne"
1,236,"state","ne"
11,236,"state","ne"
2,236,"state","ne"
0,237,"state","ne"
2,237,"state","ne"
0,237,"state","ne"
6,237,"state","ne"
1,237,"state","ne"
1,237,"state","ne"
2,237,"state","ne"
4,237,"state","ne"
1,238,"fed","ne"
26,238,"fed","ne"
1,239,"state","se"
0,239,"state","se"
0,239,"state","se"
0,239,"state","se"
5,239,"state","se"
0,239,"state","se"
0,239,"state","se"
0,239,"state","se"
0,240,"state","se"
20,240,"state","se"
3,240,"state","se"
1,241,"state","se"
0,241,"state","se"
0,241,"state","se"
11,243,"state","nw"
3,243,"state","nw"
3,243,"state","nw"
8,243,"state","nw"
1,243,"state","nw"
7,245,"fed","nw"
3,245,"fed","nw"
0,245,"fed","nw"
0,245,"fed","nw"
9,246,"state","nc"
8,246,"state","nc"
10,246,"state","nc"
8,246,"state","nc"
16,251,"fed","nc"
9,251,"fed","nc"
9,251,"fed","nc"
1,253,"state","ne"
3,253,"state","ne"
1,253,"state","ne"
7,253,"state","ne"
0,253,"state","ne"
2,253,"state","ne"
3,253,"state","ne"
2,253,"state","ne"
0,254,"state","ne"
24,254,"state","ne"
1,254,"state","ne"
1,254,"state","ne"
8,254,"state","ne"
1,254,"state","ne"
0,254,"state","ne"
0,255,"fed","ne"
3,255,"fed","ne"
1,255,"fed","ne"
3,257,"state","se"
2,257,"state","se"
0,257,"state","se"
