"lat","name"
396.932549960911,"AF385S3W"
396.935119852424,"AF386S2F"
396.917790267617,"AF387S2F"
396.931420080364,"AF388S0F"
396.931389905512,"AF389S0W"
396.933730132878,"AF390S0F"
396.934259869158,"AF392S3F"
396.934480313212,"AF393S5F"
396.928759664297,"AF394S2W"
396.933679841459,"AF395S3W"
396.942120417953,"AF396S0W"
396.923589706421,"AF397S1F"
396.919009834528,"AF398S4F"
396.925179753453,"AF399S1F"
396.928270161152,"AF400S3W"
396.921569667757,"AF401S4F"
396.919060125947,"AF402S2W"
396.920129656792,"AF403S3W"
396.921559609473,"AF404S5F"
396.924309711903,"AF405S3F"
396.92749986425,"AF406S2W"
396.929659880698,"AF407S0F"
396.929720230401,"AF408S0F"
396.92845037207,"AF409S3F"
396.927580330521,"AF410S3F"
396.926359925419,"AF411S2W"
396.926939953119,"AF412S4F"
